"id"	"Reflexive_pronoun"	"De_complement"	"Year"	"Verb"
161	"no"	"no"	1520	"burlar"
162	"no"	"no"	1520	"burlar"
163	"yes"	"yes"	1524	"burlar"
164	"no"	"no"	1524	"burlar"
165	"no"	"no"	1524	"burlar"
166	"no"	"yes"	1524	"burlar"
167	"no"	"yes"	1524	"burlar"
168	"no"	"no"	1524	"burlar"
169	"no"	"yes"	1524	"burlar"
170	"yes"	"no"	1525	"burlar"
171	"yes"	"no"	1525	"burlar"
172	"no"	"yes"	1531	"burlar"
173	"no"	"no"	1531	"burlar"
174	"yes"	"no"	1531	"burlar"
175	"yes"	"no"	1531	"burlar"
176	"yes"	"yes"	1528	"burlar"
177	"yes"	"yes"	1528	"burlar"
178	"yes"	"no"	1528	"burlar"
179	"yes"	"no"	1528	"burlar"
180	"yes"	"yes"	1528	"burlar"
181	"yes"	"yes"	1527	"burlar"
182	"yes"	"yes"	1527	"burlar"
183	"no"	"yes"	1527	"burlar"
184	"no"	"no"	1527	"burlar"
185	"no"	"yes"	1527	"burlar"
186	"no"	"yes"	1527	"burlar"
187	"no"	"yes"	1527	"burlar"
188	"no"	"yes"	1527	"burlar"
189	"yes"	"yes"	1527	"burlar"
190	"no"	"yes"	1527	"burlar"
191	"no"	"yes"	1527	"burlar"
192	"yes"	"yes"	1527	"burlar"
193	"no"	"no"	1527	"burlar"
194	"no"	"no"	1527	"burlar"
195	"no"	"no"	1527	"burlar"
196	"yes"	"yes"	1527	"burlar"
197	"no"	"no"	1527	"burlar"
198	"no"	"no"	1528	"burlar"
199	"no"	"no"	1528	"burlar"
200	"no"	"no"	1528	"burlar"
201	"no"	"no"	1528	"burlar"
202	"no"	"no"	1528	"burlar"
203	"yes"	"yes"	1529	"burlar"
204	"yes"	"no"	1529	"burlar"
205	"yes"	"yes"	1529	"burlar"
206	"no"	"no"	1529	"burlar"
207	"no"	"no"	1529	"burlar"
208	"yes"	"no"	1529	"burlar"
209	"no"	"no"	1529	"burlar"
