occurrences	word	rel_freq
17324	,	0.09500411296956403
10661	que	0.058464491362763917
8928	de	0.04896078969015629
8164	y	0.04477104469426926
4976	la	0.0272881820674527
4702	a	0.025785577186728817
3898	en	0.021376473814093775
3892	.	0.021343570057581574
3752	el	0.02057581573896353
2936	-	0.016100904853304086
2827	no	0.015503153276665753
2401	se	0.013166986564299423
2122	los	0.01163696188648204
2026	con	0.011110501782286812
1873	por	0.010271455991225665
1852	su	0.010156292843432958
1797	le	0.009854675075404442
1760	lo	0.009651768576912531
1503	las	0.008242391006306554
1375	;	0.0075404442007129145
1154	como	0.006328489169180148
1150	del	0.006306553331505347
1137	me	0.006235261859062243
1052	don	0.005769125308472717
998	más	0.005472991499862901
988	es	0.005418151905675898
885	un	0.004853304085549767
868	si	0.004760076775431862
860	yo	0.0047162051000822595
847	Quijote	0.004644913627639156
835	al	0.004579106114614752
812	dijo	0.0044529750479846445
797	:	0.0043707156567041406
769	mi	0.004217164792980532
742	tan	0.004069097888675624
735	él	0.004030710172744722
710	para	0.003893611187277214
705	porque	0.0038661913901837128
663	Sancho	0.0036358650945983
652	había	0.003575541540992597
626	ni	0.003432958596106389
619	sin	0.0033945708801754867
602	una	0.0033013435700575814
559	todo	0.0030655333150534686
533	o	0.0029229503701672607
503	Y	0.002758431587606252
502	bien	0.0027529476281875514
494	ser	0.002709075952837949
492	sus	0.0026981080340005483
465	era	0.0025500411296956404
464	esto	0.00254455717027694
457	así	0.0025061694543460377
448	ha	0.002456813819577735
431	¿	0.00236358650945983
431	?	0.00236358650945983
426	vuestra	0.0023361667123663284
426	respondió	0.0023361667123663284
417	todos	0.002286811077598026
398	cual	0.00218261584864272
371	ya	0.002034548944337812
369	merced	0.0020235810255004112
368	fue	0.002018097066081711
360	cuando	0.0019742253907321086
355	ella	0.001946805593638607
352	señor	0.0019303537153825062
344	te	0.0018864820400329037
340	este	0.0018645462023581026
331	donde	0.0018151905675897998
330	pues	0.0018097066081710995
325	sino	0.001782286811077598
322	caballero	0.0017658349328214971
318	qué	0.001743899095146696
317	aquel	0.0017384151357279956
315	quien	0.001727447216890595
315	hacer	0.001727447216890595
312	""""	0.001710995338634494
303	esta	0.0016616397038661914
300	muy	0.0016451878256100905
296	dos	0.0016232519879352894
285	otra	0.0015629284343295859
278	pero	0.0015245407183986839
274	cosa	0.0015026048807238825
271	aunque	0.0014861530024677817
262	estaba	0.001436797367699479
256	decir	0.0014038936111872772
254	allí	0.0013929256923498766
253	No	0.0013874417329311764
245	otro	0.001343570057581574
242	he	0.001327118179325473
241	nos	0.0013216342199067726
238	os	0.0013051823416506717
238	cura	0.0013051823416506717
237	tanto	0.0012996983822319715
233	¡	0.0012777625445571702
233	!	0.0012777625445571702
226	mí	0.0012393748286262682
223	señora	0.0012229229503701673
223	poco	0.0012229229503701673
220	mal	0.0012064710721140664
218	aquella	0.0011955031532766658
214	tenía	0.0011735673156018644
209	ver	0.0011461475185083631
207	manera	0.0011351795996709625
207	alguna	0.0011351795996709625
206	luego	0.0011296956402522622
204	hasta	0.0011187277214148616
203	aquí	0.0011132437619961611
200	buen	0.0010967918837400603
197	Dios	0.0010803400054839594
195	está	0.0010693720866465587
192	vida	0.0010529202083904578
188	sé	0.0010309843707156567
188	padre	0.0010309843707156567
187	verdad	0.0010255004112969565
186	parte	0.001020016451878256
185	hay	0.0010145324924595558
185	dicho	0.0010145324924595558
185	buena	0.0010145324924595558
183	sobre	0.0010035645736221552
181	son	9.925966547847545e-4
180	les	9.871126953660543e-4
180	cosas	9.871126953660543e-4
179	tengo	9.81628735947354e-4
177	uno	9.706608171099534e-4
172	tiempo	9.432410200164519e-4
172	lugar	9.432410200164519e-4
171	ellos	9.377570605977515e-4
171	dar	9.377570605977515e-4
170	toda	9.322731011790513e-4
170	tal	9.322731011790513e-4
169	mis	9.26789141760351e-4
167	tiene	9.158212229229503e-4
167	mundo	9.158212229229503e-4
164	ahora	8.993693446668494e-4
163	puesto	8.938853852481492e-4
163	menos	8.938853852481492e-4
161	tu	8.829174664107486e-4
161	amo	8.829174664107486e-4
160	todas	8.774335069920482e-4
160	entre	8.774335069920482e-4
160	En	8.774335069920482e-4
160	aun	8.774335069920482e-4
154	mucho	8.445297504798465e-4
152	han	8.335618316424458e-4
152	fuera	8.335618316424458e-4
150	dio	8.225939128050452e-4
150	casa	8.225939128050452e-4
150	Camila	8.225939128050452e-4
149	tierra	8.171099533863449e-4
149	mano	8.171099533863449e-4
147	Pero	8.061420345489444e-4
147	mejor	8.061420345489444e-4
146	vio	8.00658075130244e-4
146	solo	8.00658075130244e-4
146	caballeros	8.00658075130244e-4
143	Lotario	7.842061968741431e-4
141	hizo	7.732382780367425e-4
141	hecho	7.732382780367425e-4
141	algún	7.732382780367425e-4
140	habían	7.677543186180423e-4
140	amigo	7.677543186180423e-4
138	barbero	7.567863997806416e-4
137	otras	7.513024403619413e-4
137	cielo	7.513024403619413e-4
137	Anselmo	7.513024403619413e-4
135	Fernando	7.403345215245407e-4
133	gran	7.293666026871402e-4
132	puede	7.238826432684398e-4
132	antes	7.238826432684398e-4
129	mesmo	7.07430765012339e-4
128	día	7.019468055936386e-4
127	saber	6.964628461749383e-4
127	ojos	6.964628461749383e-4
127	fin	6.964628461749383e-4
126	visto	6.90978886756238e-4
126	sí	6.90978886756238e-4
126	Rocinante	6.90978886756238e-4
126	mas	6.90978886756238e-4
125	tener	6.854949273375377e-4
125	sea	6.854949273375377e-4
125	Panza	6.854949273375377e-4
125	cuanto	6.854949273375377e-4
