idplaces	name	country	country_code	longitude	latitude
1c71bd1bfee5c066	Lomas de Satélite	México	MX	-100.2735084	25.6013008
07d9cd462ac87004	Escuela Segunda Unidad Cupey	United States	US	-66.0392988	18.354536
00193ef976445513	Carabamba	Peru	PE	-78.6069417	-8.1120793
c43473116daa84df	Cartajima	España	ES	-5.154284400000001	36.6457959
07d9ec84e0481000	San Ysidro Trolley Station	United States	US	-117.0298315	32.5447135
5f9ca3dc9b142772	Les Cluses	France	FR	2.837918	42.486153
45628843b85ff47d	Nueva Santa Anita	México	MX	-99.1255544	19.3991858
00772d985ed6a52f	Aldana	Colombia	CO	-77.700425	0.882544
427915b602856033	Santa Cecilia	México	MX	-96.70157669999999	17.0604894
09110b7b90d48aa8	Lomas de Capula	México	MX	-99.2155215	19.379907
013ba2fc24c10235	Timbiquí	Colombia	CO	-77.66760599999999	2.777744
4b3e9ba85e8e74ae	Los Ángeles	México	MX	-98.2751251	19.0833944
07d9edd51ec84003	Pista Atlética de Aguada	United States	US	-67.1970358	18.3776639
7daac38ddf2bdc62	Súper Manzana 44	México	MX	-86.8439945	21.1501467
700c2d25cde2da5a	Santa Úrsula	España	ES	-16.4949624	28.4243755
0b72b1eefa5e0690	Villores	España	ES	-0.2004374	40.6757461
2495dd9e6f545530	Vegaviana	España	ES	-6.7186283	40.0414923
00fdaccb35758d76	Yura	Peru	PE	-71.6836503	-16.2520984
c1427fb11b2ba3a4	Torroella de Fluvià	España	ES	3.0397249	42.1752713
76168a8e5f87c3a1	Almarza de Cameros	España	ES	-2.5981535	42.2158556
f0848b1bea6ab6ad	Mélida	España	ES	-1.5462877	42.3576247
1ab705e8fef9edd3	Játiva	España	ES	-0.5235474	38.9899566
5e946b5e826ab484	Used	España	ES	-1.5608232	41.0553316
00884cbc0c7da50a	Alpujarra	Colombia	CO	-75.93553	3.39306
5988d76d98429024	Toses	España	ES	3.2080991	42.2605204
552977d0bb458320	Linda Vista	México	MX	-89.65751929999999	21.0076957
32f25023ee8742ff	Barrio Puerta del Sol	México	MX	-100.38032	25.7854943
2303af7f476498b6	Santiago Acahualtepec Segunda	México	MX	-99.0115113	19.3466867
037bc311555a3abe	Pueblo San Mateo Xalpa	México	MX	-99.1220962	19.2321798
6e387418994261e8	Fraccionamiento Santa Martha	México	MX	-99.1528799	23.7586859
5bf69a880059e500	Paseo de San Nicolás	México	MX	-100.2678551	25.7348887
0458b78fb237dfce	Mixcoatl	México	MX	-99.0481255	19.3249792
3e55d5c124ef239e	Heliodoro Hernández Loza	México	MX	-103.2764487	20.6931577
36903414ef34f08a	Bout-du-Pont-de-Larn	France	FR	2.410915300000001	43.5004531
f0998a27969a8af4	Senés	España	ES	-2.3462856	37.2041457
489c0ae4493d14b6	Roda de Eresma	España	ES	-4.1814559	41.0273713
5a465ce61c5bc022	Lomas de las Águilas	México	MX	-99.2349122	19.3465206
27485069891a7938	New York	United States	US	-74.0059728	40.7127753
00fae583168aec12	Atalaya	España	ES	-3.666576699999999	40.4659136
47c968e5cb778f81	Casa Maya Residencial	México	MX	-115.3900512	32.649555
114f0bba8d946c2a	Vicente Guerrero Segunda Etapa	México	MX	NA	NA
a0412324adac60de	Callús	España	ES	1.7837062	41.7822924
125983d7866420f8	Peguerinos	España	ES	-4.2314131	40.6265129
d7d037b22c428252	Gestalgar	España	ES	-0.8347576999999999	39.6042994
6c6134f4125d7a74	Valero	España	ES	-5.9416315	40.5348254
d67c457c53bafd31	Machacón	España	ES	-5.5243305	40.9256096
07d9cb3ba4886000	Condom World	United States	US	-80.13749279999999	26.1669573
bf34b2693971be2e	Basconcillos del Tozo	España	ES	-3.9890629	42.7019724
4b13698a5a0d0a1f	Pueblo Santo Tomas Ajusco	México	MX	-99.205481699999993	19.2180579
009571a147071a57	San Jacinto del Cauca	Colombia	CO	-74.72236749999999	8.2498841
793e51e95b9661d3	Kiosco	México	MX	-100.9880135	25.4527275
7c60403633a5e748	Singra	España	ES	-1.3113794	40.6558167
4b64f3fb16c248ab	Real del Bosque	México	MX	-93.1716905	16.7007469
08735a140a967000	Mcallen Texas	United States	US	-98.23001239999999	26.2034071
6aafbb01e17706ec	Colinas de San Marcos	México	MX	-96.9665476	19.4203113
3b1c948dc7290c6e	Privadas la Torre	México	MX	-100.9330228	25.413079
